address,total_transactions,unique_days,avg_tx_per_day,max_tx_in_day,night_ratio,weekend_ratio,avg_interval_seconds,median_interval_seconds,std_interval_seconds,cv_interval,hourly_entropy,peak_hour,daily_cv,max_inactive_days,recent_tx_ratio_7d,feb_2026_tx_count,feb_2026_active_days,unique_programs,program_entropy,unique_tokens,token_entropy
2PLVmdkQ9f6yVe4SXg34uiptj8qStENcuuV7a1tvRveR,28000,7,4000.0,5392,0.207,0.3455,17.86,7.0,26.33,1.4739,4.4894,18,0.4653,0.0,0.391,9153,3,4,1.7809,418,5.3131
MWRZZ7WwPojwHgEtWQFP4XNejkwQ5GyJuZR5BLGbSea,6000,10,600.0,1969,0.1815,0.3017,131.32,1.0,2627.75,20.0108,3.5969,18,1.057,1.0,0.557,2003,2,6,2.2401,14,2.3222
2hLexBUxTe1zWizYjDHuot5iQ2muPfjaEwa8EG6M4qj7,3900,7,557.14,1105,0.2808,0.1577,126.97,1.0,571.54,4.5013,4.4132,19,0.681,0.0,1.0,0,0,9,2.593,166,5.8937
6K8WfpZuK2HfhTLn2oHtd1pkbTgo6iUFdLT1rNWWiWGd,35200,7,5028.57,7403,0.2474,0.2709,14.14,0.0,62.01,4.3846,4.5662,17,0.4811,0.0,1.0,0,0,6,2.2076,444,6.3618
14ihgruds5osaHs4wq3tjsAyeaRkJBhH5nPAPWka4FUN,22200,7,3171.43,4466,0.2623,0.3106,22.43,8.0,72.8,3.2455,4.5325,19,0.467,0.0,1.0,0,0,5,2.316,406,5.2781
chepn1tuJFA8TzD1iqvgDZha6PDRT3tekm2U1AHeche,20200,7,2885.71,4368,0.2654,0.248,24.67,7.0,200.08,8.1103,4.5399,17,0.5089,0.0,1.0,0,0,5,2.1769,110,4.5026
34amrAxWA6MqHz973Hf38bjKBWzuG7qxMYcqKAnmebEd,17900,7,2557.14,5964,0.242,0.4239,27.84,2.0,962.77,34.5841,4.4298,17,0.862,0.0,1.0,0,0,5,2.306,132,4.7409
14dmUdeMaznfr4ZTybMF5n4qWdBaRpS2UUWVCpX45UkU,13100,7,1871.43,3367,0.2166,0.2498,38.1,17.0,423.4,11.1124,4.523,16,0.5486,0.0,1.0,0,0,5,2.1381,23,3.1204
GG6CnDBfBgKborH8QpS6YmAGBzKThvWV7gq7UYNxyEaP,9700,7,1385.71,2868,0.2023,0.2503,51.47,1.0,196.72,3.822,4.4296,16,0.6064,0.0,1.0,0,0,9,1.9907,84,5.8883
9yzDcVC569tYadQqmuNPGNNa3ZmHA6AY7tdgWnSEvDbi,12800,7,1828.57,3209,0.1951,0.197,39.3,2.0,125.02,3.1811,4.4209,17,0.5853,0.0,1.0,0,0,9,2.1495,159,7.0867
